Strain Stress
0.0 -0
0.000352631635994 0.381671079978
0.000705263271988 0.763342159956
0.00123421093713 1.33584885817
0.00202763104728 2.1946086238
0.00321776278106 3.4786711238
0.00366406426256 3.85171148838
0.00433351008998 3.90932992788
0.00533768763909 3.98994791667
0.00684394382755 4.10930288462
0.00910332907549 4.28645933494
0.0124924269765 4.54963090946
0.0160187284956 4.82348157051
0.019545060903 5.09971955128
0.0230713797967 5.37558343349
0.0265976774548 5.64862730369
0.0301239866959 5.8937900641
0.0336503248948 6.13656450321
0.0352631503271 6.24711388221
